country,year,exch_usd,gdp_weighted_default,inflation_annual_cpi,systemic_crisis,banking_crisis
Country A,2000,1.2,0.5,2.3,0,no_crisis
Country B,2001,0.8,1.2,5.4,1,crisis
Country C,2002,3.1,0.8,3.6,0,no_crisis
Country D,2003,2.5,1.0,4.2,1,crisis
Country E,2004,1.1,0.7,2.9,0,no_crisis
Country F,2005,0.9,1.5,6.1,1,crisis
Country G,2006,2.2,0.6,3.1,0,no_crisis
Country H,2007,1.4,1.3,5.2,1,crisis
Country I,2008,3.3,0.9,2.7,0,no_crisis
Country J,2009,2.0,1.2,4.5,1,crisis
Country K,2010,1.6,0.8,3.8,0,no_crisis
Country L,2011,0.7,1.4,5.9,1,crisis
Country M,2012,2.8,0.5,2.5,0,no_crisis
Country N,2013,1.9,1.1,4.0,1,crisis
Country O,2014,1.3,0.7,3.3,0,no_crisis
Country P,2015,0.6,1.6,6.5,1,crisis
Country Q,2016,2.1,0.9,3.0,0,no_crisis
Country R,2017,1.5,1.3,4.7,1,crisis
Country S,2018,3.0,0.8,2.6,0,no_crisis
Country T,2019,2.4,1.2,4.3,1,crisis
